Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
4b,1938-07-08,1938,7,8,83.0,La Roche-sur-Yon,La Rochelle,Plain stage,Éloi Meulenberg,BEL
4c,1938-07-08,1938,7,8,83.0,La Rochelle,Royan,Plain stage,Félicien Vervaecke,BEL
5,1938-07-10,1938,7,10,198.0,Royan,Bordeaux,Plain stage,Éloi Meulenberg,BEL
6a,1938-07-11,1938,7,11,53.0,Bordeaux,Arcachon,Plain stage,Jules Rossi,ITA
6b,1938-07-11,1938,7,11,171.0,Arcachon,Bayonne,Plain stage,Glauco Servadei,ITA
7,1938-07-12,1938,7,12,115.0,Bayonne,Pau,Plain stage,Theo Middelkamp,NED
8,1938-07-14,1938,7,14,193.0,Pau,Luchon,Stage with mountain(s),Félicien Vervaecke,BEL
9,1938-07-16,1938,7,16,260.0,Luchon,Perpignan,Stage with mountain(s),Jean Fréchaut,FRA
10a,1938-07-17,1938,7,17,63.0,Perpignan,Narbonne,Plain stage,Antoon van Schendel,NED
10b,1938-07-17,1938,7,17,27.0,Narbonne,Béziers,Individual time trial,Félicien Vervaecke,BEL
10c,1938-07-17,1938,7,17,73.0,Béziers,Montpellier,Plain stage,Antonin Magne,FRA
11,1938-07-18,1938,7,18,223.0,Montpellier,Marseille,Plain stage,Gino Bartali,ITA
12,1938-07-19,1938,7,19,199.0,Marseille,Cannes,Plain stage,Jean Fréchaut,FRA
13,1938-07-21,1938,7,21,284.0,Cannes,Digne,Stage with mountain(s),Dante Gianello,FRA
14,1938-07-22,1938,7,22,219.0,Digne,Briançon,Stage with mountain(s),Gino Bartali,ITA
15,1938-07-23,1938,7,23,311.0,Briançon,Aix-les-Bains,Stage with mountain(s),Marcel Kint,BEL
16,1938-07-25,1938,7,25,284.0,Aix-les-Bains,Besançon,Stage with mountain(s),Marcel Kint,BEL
17a,1938-07-26,1938,7,26,89.0,Besançon,Belfort,Plain stage,Émile Masson Jr.,BEL
17b,1938-07-26,1938,7,26,143.0,Belfort,Strasbourg,Plain stage,Jean Fréchaut,FRA
18,1938-07-27,1938,7,27,186.0,Strasbourg,Metz,Plain stage,Marcel Kint,BEL
19,1938-07-28,1938,7,28,196.0,Metz,Reims,Plain stage,Fabien Galateau,FRA
20a,1938-07-30,1938,7,30,48.0,Reims,Laon,Plain stage,Glauco Servadei,ITA
20b,1938-07-30,1938,7,30,42.0,Laon,Saint-Quentin,Individual time trial,Félicien Vervaecke,BEL
20c,1938-07-30,1938,7,30,107.0,Saint-Quentin,Lille,Plain stage,François Neuville,BEL
21,1938-07-31,1938,7,31,279.0,Lille,Paris,Plain stage,Antonin Magne André Leducq[n 2],"c(""FRA"", ""FRA"")"
1,1937-06-30,1937,6,30,263.0,Paris,Lille,Plain stage,Jean Majerus,LUX
2,1937-07-01,1937,7,1,192.0,Lille,Charleville,Plain stage,Maurice Archambaud,FRA
3,1937-07-02,1937,7,2,161.0,Charleville,Metz,Plain stage,Walter Generati,ITA
4,1937-07-03,1937,7,3,220.0,Metz,Belfort,Stage with mountain(s),Erich Bautz,GER
5a,1937-07-04,1937,7,4,175.0,Belfort,Lons-le-Saunier,Plain stage,Henri Puppo,FRA
5b,1937-07-04,1937,7,4,34.0,Lons-le-Saunier,Champagnole,Team time trial,Sylvère Maes,BEL
5c,1937-07-04,1937,7,4,93.0,Champagnole,Geneva,Plain stage,Leo Amberg,SUI
6,1937-07-06,1937,7,6,180.0,Geneva,Aix-les-Bains,Stage with mountain(s),Gustaaf Deloor,BEL
7,1937-07-07,1937,7,7,228.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Gino Bartali,ITA
8,1937-07-08,1937,7,8,194.0,Grenoble,Briançon,Stage with mountain(s),Otto Weckerling,GER
9,1937-07-09,1937,7,9,220.0,Briançon,Digne,Stage with mountain(s),Roger Lapébie,FRA
10,1937-07-11,1937,7,11,251.0,Digne,Nice,Stage with mountain(s),Félicien Vervaecke,BEL
11a,1937-07-13,1937,7,13,169.0,Nice,Toulon,Plain stage,Eloi Meulenberg,BEL
11b,1937-07-13,1937,7,13,65.0,Toulon,Marseille,Team time trial,Gustaaf Danneels,BEL
12a,1937-07-14,1937,7,14,112.0,Marseille,Nîmes,Plain stage,Alphonse Antoine,FRA
12b,1937-07-14,1937,7,14,51.0,Nîmes,Montpellier,Plain stage,René Pedroli,SUI
13a,1937-07-15,1937,7,15,103.0,Montpellier,Narbonne,Plain stage,Francesco Camusso,ITA
13b,1937-07-15,1937,7,15,63.0,Narbonne,Perpignan,Plain stage,Eloi Meulenberg,BEL
14a,1937-07-17,1937,7,17,99.0,Perpignan,Bourg-Madame,Plain stage,Eloi Meulenberg,BEL
14b,1937-07-17,1937,7,17,59.0,Bourg-Madame,Ax-les-Thermes,Stage with mountain(s),Mariano Canardo,ESP
14c,1937-07-17,1937,7,17,167.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Eloi Meulenberg,BEL
15,1937-07-19,1937,7,19,194.0,Luchon,Pau,Stage with mountain(s),Julian Berrendero,ESP
16,1937-07-21,1937,7,21,235.0,Pau,Bordeaux,Plain stage,Paul Chocque,FRA
17a,1937-07-22,1937,7,22,123.0,Bordeaux,Royan,Plain stage,Erich Bautz,GER
17b,1937-07-22,1937,7,22,37.0,Royan,Saintes,Plain stage,Adolph Braeckeveldt Heinz Wengler[n 3],"c(""BEL"", ""GER"")"
17c,1937-07-22,1937,7,22,67.0,Saintes,La Rochelle,Plain stage,Roger Lapébie,FRA
18a,1937-07-23,1937,7,23,82.0,La Rochelle,La Roche-sur-Yon,Team time trial,Roger Lapébie,FRA
18b,1937-07-23,1937,7,23,172.0,La Roche-sur-Yon,Rennes,Plain stage,Paul Chocque,FRA
19a,1937-07-24,1937,7,24,114.0,Rennes,Vire,Plain stage,Raymond Passat,FRA
19b,1937-07-24,1937,7,24,59.0,Vire,Caen,Individual time trial,Leo Amberg,SUI
20,1937-07-25,1937,7,25,234.0,Caen,Paris,Plain stage,Edward Vissers,BEL
1,1936-07-07,1936,7,7,258.0,Paris,Lille,Plain stage,Paul Egli,SUI
2,1936-07-08,1936,7,8,192.0,Lille,Charleville,Plain stage,Robert Wierinckx,BEL
3,1936-07-09,1936,7,9,161.0,Charleville,Metz,Plain stage,Mathias Clemens,LUX
4,1936-07-10,1936,7,10,220.0,Metz,Belfort,Stage with mountain(s),Maurice Archambaud,FRA
5,1936-07-11,1936,7,11,298.0,Belfort,Évian-les-Bains,Plain stage,René Le Grèves,FRA
6,1936-07-13,1936,7,13,212.0,Évian-les-Bains,Aix-les-Bains,Stage with mountain(s),Éloi Meulenberg,BEL
7,1936-07-14,1936,7,14,230.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Theo Middelkamp,NED
8,1936-07-15,1936,7,15,194.0,Grenoble,Briançon,Stage with mountain(s),Jean-Marie Goasmat,FRA
9,1936-07-16,1936,7,16,220.0,Briançon,Digne,Stage with mountain(s),Léon Level,FRA
10,1936-07-18,1936,7,18,156.0,Digne,Nice,Plain stage,Paul Maye,FRA
11,1936-07-19,1936,7,19,126.0,Nice,Cannes,Stage with mountain(s),Federico Ezquerra,ESP
12,1936-07-21,1936,7,21,195.0,Cannes,Marseille,Plain stage,René Le Grevès,FRA
13a,1936-07-22,1936,7,22,112.0,Marseille,Nîmes,Plain stage,René Le Grevès,FRA
13b,1936-07-22,1936,7,22,52.0,Nîmes,Montpellier,Individual time trial,Sylvère Maes,BEL
14a,1936-07-23,1936,7,23,103.0,Montpellier,Narbonne,Plain stage,René Le Grevès,FRA
14b,1936-07-23,1936,7,23,63.0,Narbonne,Perpignan,Individual time trial,Sylvère Maes,BEL
15,1936-07-25,1936,7,25,325.0,Perpignan,Luchon,Stage with mountain(s),Sauveur Ducazeaux,FRA
16,1936-07-27,1936,7,27,194.0,Luchon,Pau,Stage with mountain(s),Sylvère Maes,BEL
17,1936-07-29,1936,7,29,229.0,Pau,Bordeaux,Plain stage,René Le Grevès,FRA
18a,1936-07-30,1936,7,30,117.0,Bordeaux,Saintes,Plain stage,Éloi Meulenberg,BEL
18b,1936-07-30,1936,7,30,75.0,Saintes,La Rochelle,Individual time trial,Sylvère Maes,BEL
19a,1936-07-31,1936,7,31,81.0,La Rochelle,La Roche-sur-Yon,Plain stage,Marcel Kint,BEL
19b,1936-07-31,1936,7,31,65.0,La Roche-sur-Yon,Cholet,Individual time trial,Félicien Vervaecke,BEL
19c,1936-07-31,1936,7,31,67.0,Cholet,Angers,Plain stage,Paul Maye,FRA
20a,1936-08-01,1936,8,1,204.0,Angers,Vire,Plain stage,René Le Grevès,FRA
20b,1936-08-01,1936,8,1,55.0,Vire,Caen,Individual time trial,Antonin Magne,FRA
21,1936-08-02,1936,8,2,234.0,Caen,Paris,Plain stage,Arsène Mersch,LUX
1,1935-07-04,1935,7,4,262.0,Paris,Lille,Plain stage,Romain Maes,BEL
2,1935-07-05,1935,7,5,192.0,Lille,Charleville,Plain stage,Charles Pélissier,FRA
3,1935-07-06,1935,7,6,161.0,Charleville,Metz,Plain stage,Rafaele di Paco,ITA
4,1935-07-07,1935,7,7,220.0,Metz,Belfort,Stage with mountain(s),Jean Aerts,BEL
5a,1935-07-08,1935,7,8,262.0,Belfort,"Geneva, Switzerland",Plain stage,Maurice Archambaud,FRA
5b,1935-07-08,1935,7,8,58.0,Geneva,Evian,Individual time trial,Rafaele di Paco,ITA
6,1935-07-10,1935,7,10,207.0,Evian,Aix-les-Bains,Stage with mountain(s),René Vietto,FRA
7,1935-07-11,1935,7,11,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Francesco Camusso,ITA
8,1935-07-12,1935,7,12,102.0,Grenoble,Gap,Stage with mountain(s),Jean Aerts,BEL
9,1935-07-13,1935,7,13,227.0,Gap,Digne,Stage with mountain(s),René Vietto,FRA
10,1935-07-14,1935,7,14,156.0,Digne,Nice,Plain stage,Jean Aerts,BEL
11,1935-07-16,1935,7,16,126.0,Nice,Cannes,Stage with mountain(s),Romain Maes,BEL
12,1935-07-17,1935,7,17,195.0,Cannes,Marseille,Plain stage,Charles Pélissier,FRA
13a,1935-07-18,1935,7,18,112.0,Marseille,Nîmes,Plain stage,Vasco Bergamaschi,ITA
13b,1935-07-18,1935,7,18,56.0,Nîmes,Montpellier,Individual time trial,Georges Speicher,FRA
14a,1935-07-19,1935,7,19,103.0,Montpellier,Narbonne,Plain stage,René Le Grevès,FRA
14b,1935-07-19,1935,7,19,63.0,Narbonne,Perpignan,Individual time trial,Maurice Archambaud,FRA
15,1935-07-20,1935,7,20,325.0,Perpignan,Luchon,Stage with mountain(s),Sylvère Maes,BEL
16,1935-07-22,1935,7,22,194.0,Luchon,Pau,Stage with mountain(s),Ambrogio Morelli,ITA
17,1935-07-24,1935,7,24,224.0,Pau,Bordeaux,Plain stage,Julien Moineau,FRA
18a,1935-07-25,1935,7,25,158.0,Bordeaux,Rochefort,Plain stage,René Le Grevès,FRA
18b,1935-07-25,1935,7,25,33.0,Rochefort,La Rochelle,Individual time trial,André Leducq,FRA
19a,1935-07-26,1935,7,26,81.0,La Rochelle,La Roche sur Yon,Plain stage,René Le Grevès,FRA
19b,1935-07-26,1935,7,26,95.0,La Roche sur Yon,Nantes,Individual time trial,Jean Aerts,BEL
20a,1935-07-27,1935,7,27,220.0,Nantes,Vire,Plain stage,René Le Grevès,FRA
20b,1935-07-27,1935,7,27,55.0,Vire,Caen,Individual time trial,Ambrogio Morelli,ITA
21,1935-07-28,1935,7,28,221.0,Caen,Paris,Plain stage,Romain Maes,BEL
1,1934-07-03,1934,7,3,262.0,Paris,Lille,Plain stage,Georges Speicher,FRA
2,1934-07-04,1934,7,4,192.0,Lille,Charleville,Plain stage,René Le Grevès,FRA
3,1934-07-05,1934,7,5,161.0,Charleville,Metz,Plain stage,Roger Lapébie,FRA
4,1934-07-06,1934,7,6,220.0,Metz,Belfort,Stage with mountain(s),Roger Lapébie,FRA
5,1934-07-07,1934,7,7,293.0,Belfort,Evian,Plain stage,René Le Grevès  Georges Speicher[n 2],"c(""FRA"", ""FRA"")"
6,1934-07-09,1934,7,9,207.0,Evian,Aix-les-Bains,Stage with mountain(s),Georges Speicher,FRA
7,1934-07-10,1934,7,10,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),René Vietto,FRA
8,1934-07-11,1934,7,11,102.0,Grenoble,Gap,Stage with mountain(s),Giuseppe Martano,ITA
9,1934-07-12,1934,7,12,227.0,Gap,Digne,Stage with mountain(s),René Vietto,FRA
10,1934-07-13,1934,7,13,156.0,Digne,Nice,Plain stage,René Le Grevès,FRA
11,1934-07-15,1934,7,15,126.0,Nice,Cannes,Stage with mountain(s),René Vietto,FRA
12,1934-07-16,1934,7,16,195.0,Cannes,Marseille,Plain stage,Roger Lapébie,FRA
13,1934-07-17,1934,7,17,172.0,Marseille,Montpellier,Plain stage,Georges Speicher,FRA
14,1934-07-18,1934,7,18,177.0,Montpellier,Perpignan,Plain stage,Roger Lapébie,FRA
15,1934-07-20,1934,7,20,158.0,Perpignan,Ax-les-Thermes,Plain stage,Roger Lapébie,FRA
16,1934-07-21,1934,7,21,165.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Adriano Vignoli,ITA
17,1934-07-22,1934,7,22,91.0,Luchon,Tarbes,Stage with mountain(s),Antonin Magne,FRA
18,1934-07-23,1934,7,23,172.0,Tarbes,Pau,Stage with mountain(s),René Vietto,FRA
19,1934-07-25,1934,7,25,215.0,Pau,Bordeaux,Plain stage,Ettore Meini,ITA
20,1934-07-26,1934,7,26,183.0,Bordeaux,La Rochelle,Plain stage,Georges Speicher,FRA
21a,1934-07-27,1934,7,27,81.0,La Rochelle,La Roche sur Yon,Plain stage,René Le Grevès,FRA
21b,1934-07-27,1934,7,27,90.0,La Roche sur Yon,Nantes,Individual time trial,Antonin Magne,FRA
22,1934-07-28,1934,7,28,275.0,Nantes,Caen,Plain stage,Raymond Louviot,FRA
23,1934-07-29,1934,7,29,221.0,Caen,Paris,Plain stage,Sylvère Maes,BEL
1,1933-06-27,1933,6,27,262.0,Paris,Lille,Plain stage,Maurice Archambaud,FRA
2,1933-06-28,1933,6,28,192.0,Lille,Charleville,Plain stage,Learco Guerra,ITA
3,1933-06-29,1933,6,29,166.0,Charleville,Metz,Plain stage,Alfons Schepers,BEL
4,1933-06-30,1933,6,30,220.0,Metz,Belfort,Stage with mountain(s),Jean Aerts,BEL
5,1933-07-01,1933,7,1,293.0,Belfort,Evian,Stage with mountain(s),Léon Louyet,BEL
6,1933-07-03,1933,7,3,207.0,Evian,Aix-les-Bains,Stage with mountain(s),Learco Guerra,ITA
7,1933-07-04,1933,7,4,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Learco Guerra,ITA
8,1933-07-05,1933,7,5,102.0,Grenoble,Gap,Stage with mountain(s),Georges Speicher,FRA
9,1933-07-06,1933,7,6,227.0,Gap,Digne,Stage with mountain(s),Georges Speicher,FRA
10,1933-07-07,1933,7,7,156.0,Digne,Nice,Plain stage,Fernand Cornez,FRA
11,1933-07-09,1933,7,9,128.0,Nice,Cannes,Stage with mountain(s),Maurice Archambaud,FRA
12,1933-07-10,1933,7,10,208.0,Cannes,Marseille,Plain stage,Georges Speicher,FRA
13,1933-07-11,1933,7,11,168.0,Marseille,Montpellier,Plain stage,André Leducq,FRA
14,1933-07-12,1933,7,12,166.0,Montpellier,Perpignan,Plain stage,André Leducq,FRA
15,1933-07-14,1933,7,14,158.0,Perpignan,Ax-les-Thermes,Stage with mountain(s),Jean Aerts,BEL
16,1933-07-15,1933,7,15,165.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Léon Louyet,BEL
17,1933-07-16,1933,7,16,91.0,Luchon,Tarbes,Stage with mountain(s),Jean Aerts,BEL
18,1933-07-17,1933,7,17,185.0,Tarbes,Pau,Stage with mountain(s),Learco Guerra,ITA
19,1933-07-19,1933,7,19,233.0,Pau,Bordeaux,Plain stage,Jean Aerts,BEL
20,1933-07-20,1933,7,20,183.0,Bordeaux,La Rochelle,Plain stage,Jean Aerts,BEL
21,1933-07-21,1933,7,21,266.0,La Rochelle,Rennes,Plain stage,Jean Aerts,BEL
22,1933-07-22,1933,7,22,169.0,Rennes,Caen,Plain stage,René Le Grevès,FRA
23,1933-07-23,1933,7,23,222.0,Caen,Paris,Plain stage,Learco Guerra,ITA
1,1932-07-06,1932,7,6,208.0,Paris,Caen,Plain stage,Jean Aerts,BEL
2,1932-07-07,1932,7,7,300.0,Caen,Nantes,Plain stage,Kurt Stöpel,GER
3,1932-07-09,1932,7,9,387.0,Nantes,Bordeaux,Plain stage,André Leducq,FRA
4,1932-07-11,1932,7,11,206.0,Bordeaux,Pau,Plain stage,Georges Ronsse,BEL
5,1932-07-12,1932,7,12,229.0,Pau,Luchon,Stage with mountain(s),Antonio Pesenti,ITA
6,1932-07-14,1932,7,14,322.0,Luchon,Perpignan,Stage with mountain(s),Frans Bonduel,BEL
7,1932-07-16,1932,7,16,168.0,Perpignan,Montpellier,Plain stage,Frans Bonduel,BEL
8,1932-07-17,1932,7,17,206.0,Montpellier,Marseille,Plain stage,Michele Orecchia,ITA
9,1932-07-18,1932,7,18,191.0,Marseille,Cannes,Plain stage,Rafaele di Paco,ITA
10,1932-07-19,1932,7,19,132.0,Cannes,Nice,Stage with mountain(s),Francesco Camusso,ITA
11,1932-07-21,1932,7,21,233.0,Nice,Gap,Stage with mountain(s),André Leducq,FRA
12,1932-07-22,1932,7,22,102.0,Gap,Grenoble,Stage with mountain(s),Roger Lapébie,FRA
13,1932-07-23,1932,7,23,230.0,Grenoble,Aix-les-Bains,Stage with mountain(s),André Leducq,FRA
14,1932-07-24,1932,7,24,204.0,Aix-les-Bains,Evian,Stage with mountain(s),Rafaele di Paco,ITA
15,1932-07-25,1932,7,25,291.0,Evian,Belfort,Stage with mountain(s),André Leducq,FRA
16,1932-07-26,1932,7,26,145.0,Belfort,Strasbourg,Plain stage,Gérard Loncke,BEL
17,1932-07-27,1932,7,27,165.0,Strasbourg,Metz,Plain stage,Rafaele di Paco,ITA
18,1932-07-28,1932,7,28,159.0,Metz,Charleville,Plain stage,Rafaele di Paco,ITA
19,1932-07-29,1932,7,29,271.0,Charleville,Malo-les-Bains,Plain stage,Gaston Rebry,BEL
20,1932-07-30,1932,7,30,212.0,Malo-les-Bains,Amiens,Plain stage,André Leducq,FRA
21,1932-07-31,1932,7,31,159.0,Amiens,Paris,Plain stage,André Leducq,FRA
1,1931-06-30,1931,6,30,208.0,Paris,Caen,Plain stage,Alfred Haemerlinck,BEL
2,1931-07-01,1931,7,1,212.0,Caen,Dinan,Plain stage,Max Bulla,AUT
3,1931-07-02,1931,7,2,206.0,Dinan,Brest,Plain stage,Fabio Battesini,ITA
4,1931-07-03,1931,7,3,211.0,Brest,Vannes,Plain stage,André Godinat,FRA
5,1931-07-04,1931,7,4,202.0,Vannes,Les Sables d'Olonne,Plain stage,Charles Pélissier,FRA
6,1931-07-05,1931,7,5,338.0,Les Sables d'Olonne,Bordeaux,Plain stage,Alfred Haemerlinck,BEL
7,1931-07-06,1931,7,6,180.0,Bordeaux,Bayonne,Plain stage,Gérard Loncke,BEL
8,1931-07-07,1931,7,7,106.0,Bayonne,Pau,Plain stage,Charles Pélissier,FRA
9,1931-07-08,1931,7,8,231.0,Pau,Luchon,Stage with mountain(s),Antonin Magne,FRA
10,1931-07-10,1931,7,10,322.0,Luchon,Perpignan,Stage with mountain(s),Rafaele di Paco,ITA
11,1931-07-12,1931,7,12,164.0,Perpignan,Montpellier,Plain stage,Rafaele di Paco,ITA
12,1931-07-13,1931,7,13,207.0,Montpellier,Marseille,Plain stage,Max Bulla,AUT
13,1931-07-14,1931,7,14,181.0,Marseille,Cannes,Plain stage,Charles Pélissier,FRA
14,1931-07-15,1931,7,15,132.0,Cannes,Nice,Stage with mountain(s),Eugenio Gestri,ITA
15,1931-07-17,1931,7,17,233.0,Nice,Gap,Stage with mountain(s),Jef Demuysere,BEL
16,1931-07-18,1931,7,18,102.0,Gap,Grenoble,Stage with mountain(s),Charles Pélissier,FRA
17,1931-07-19,1931,7,19,230.0,Grenoble,Aix-les-Bains,Stage with mountain(s),Max Bulla,AUT
18,1931-07-20,1931,7,20,204.0,Aix-les-Bains,Evian,Stage with mountain(s),Jef Demuysere,BEL
19,1931-07-21,1931,7,21,282.0,Evian,Belfort,Stage with mountain(s),Rafaele di Paco,ITA
20,1931-07-22,1931,7,22,209.0,Belfort,Colmar,Stage with mountain(s),André Leducq,FRA
21,1931-07-23,1931,7,23,192.0,Colmar,Metz,Plain stage,Rafaele di Paco,ITA
22,1931-07-24,1931,7,24,159.0,Metz,Charleville,Plain stage,Raffaele di Paco,ITA
23,1931-07-25,1931,7,25,271.0,Charleville,Malo-les-Bains,Plain stage,Gaston Rebry,BEL
24,1931-07-26,1931,7,26,313.0,Malo-les-Bains,Paris,Plain stage,Charles Pélissier,FRA
1,1930-07-02,1930,7,2,206.0,Paris,Caen,Plain stage,Charles Pélissier,FRA
2,1930-07-03,1930,7,3,203.0,Caen,Dinan,Plain stage,Learco Guerra,ITA
3,1930-07-04,1930,7,4,206.0,Dinan,Brest,Plain stage,Charles Pélissier,FRA
4,1930-07-05,1930,7,5,210.0,Brest,Vannes,Plain stage,Omer Taverne,BEL
5,1930-07-06,1930,7,6,202.0,Vannes,Les Sables d'Olonne,Plain stage,André Leducq,FRA
6,1930-07-07,1930,7,7,285.0,Les Sables d'Olonne,Bordeaux,Plain stage,Jean Aerts,BEL
7,1930-07-08,1930,7,8,222.0,Bordeaux,Hendaye,Plain stage,Jules Merviel,FRA
8,1930-07-09,1930,7,9,146.0,Hendaye,Pau,Plain stage,Alfredo Binda,ITA
9,1930-07-10,1930,7,10,231.0,Pau,Luchon,Stage with mountain(s),Alfredo Binda,ITA
10,1930-07-12,1930,7,12,322.0,Luchon,Perpignan,Stage with mountain(s),Charles Pélissier,FRA
11,1930-07-14,1930,7,14,164.0,Perpignan,Montpellier,Plain stage,Charles Pélissier,FRA
12,1930-07-15,1930,7,15,209.0,Montpellier,Marseille,Plain stage,Antonin Magne,FRA
13,1930-07-16,1930,7,16,181.0,Marseille,Cannes,Plain stage,Learco Guerra,ITA
14,1930-07-17,1930,7,17,132.0,Cannes,Nice,Stage with mountain(s),Louis Peglion,FRA
15,1930-07-19,1930,7,19,333.0,Nice,Grenoble,Stage with mountain(s),Learco Guerra,ITA
16,1930-07-21,1930,7,21,331.0,Grenoble,Evian,Stage with mountain(s),André Leducq,FRA
17,1930-07-23,1930,7,23,282.0,Evian,Belfort,Stage with mountain(s),Frans Bonduel,BEL
18,1930-07-24,1930,7,24,223.0,Belfort,Metz,Plain stage,Charles Pélissier,FRA
19,1930-07-25,1930,7,25,159.0,Metz,Charleville,Plain stage,Charles Pélissier,FRA
20,1930-07-26,1930,7,26,271.0,Charleville,Malo-les-Bains,Plain stage,Charles Pélissier,FRA
21,1930-07-27,1930,7,27,300.0,Malo-les-Bains,Paris,Plain stage,Charles Pélissier,FRA
1,1929-06-30,1929,6,30,206.0,Paris,Caen,Plain stage,Aimé Dossche,BEL
2,1929-07-01,1929,7,1,140.0,Caen,Cherbourg,Plain stage,André Leducq,FRA
3,1929-07-02,1929,7,2,199.0,Cherbourg,Dinan,Plain stage,Omer Taverne,BEL
4,1929-07-03,1929,7,3,206.0,Dinan,Brest,Plain stage,Louis Delannoy,BEL
5,1929-07-04,1929,7,4,208.0,Brest,Vannes,Plain stage,Gustaaf van Slembrouck,BEL
6,1929-07-05,1929,7,5,206.0,Vannes,Les Sables d'Olonne,Plain stage,Paul Le Drogo,FRA
7,1929-07-06,1929,7,6,285.0,Les Sables d'Olonne,Bordeaux,Plain stage,Nicolas Frantz,LUX
8,1929-07-07,1929,7,7,182.0,Bordeaux,Bayonne,Plain stage,Julien Moineau,FRA
9,1929-07-09,1929,7,9,363.0,Bayonne,Luchon,Stage with mountain(s),Salvador Cardona,ESP
10,1929-07-11,1929,7,11,323.0,Luchon,Perpignan,Stage with mountain(s),Jef Demuysere,BEL
11,1929-07-13,1929,7,13,366.0,Perpignan,Marseille,Plain stage,André Leducq,FRA
12,1929-07-15,1929,7,15,191.0,Marseille,Cannes,Team time trial,Marcel Bidot,FRA
13,1929-07-16,1929,7,16,133.0,Cannes,Nice,Stage with mountain(s),Benoît Fauré,FRA
14,1929-07-18,1929,7,18,333.0,Nice,Grenoble,Stage with mountain(s),Gaston Rebry,BEL
15,1929-07-20,1929,7,20,329.0,Grenoble,Evian,Stage with mountain(s),Julien Vervaecke,BEL
16,1929-07-22,1929,7,22,283.0,Evian,Belfort,Stage with mountain(s),Charles Pélissier,FRA
17,1929-07-23,1929,7,23,145.0,Belfort,Strasbourg,Plain stage,André Leducq,FRA
18,1929-07-24,1929,7,24,165.0,Strasbourg,Metz,Plain stage,André Leducq,FRA
19,1929-07-25,1929,7,25,159.0,Metz,Charleville,Team time trial,Bernard van Rysselberghe,BEL
20,1929-07-26,1929,7,26,270.0,Charleville,Malo-les-Bains,Team time trial,Maurice Dewaele,BEL
21,1929-07-27,1929,7,27,234.0,Malo-les-Bains,Dieppe,Plain stage,André Leducq,FRA
22,1929-07-28,1929,7,28,332.0,Dieppe,Paris,Plain stage,Nicolas Frantz,LUX
1,1928-06-17,1928,6,17,207.0,Paris,Caen,Team time trial,Nicolas Frantz,LUX
2,1928-06-18,1928,6,18,140.0,Caen,Cherbourg,Team time trial,André Leducq,FRA
3,1928-06-19,1928,6,19,199.0,Cherbourg,Dinan,Team time trial,Gaston Rebry,BEL
4,1928-06-20,1928,6,20,206.0,Dinan,Brest,Team time trial,Pé Verhaegen,BEL
5,1928-06-21,1928,6,21,208.0,Brest,Vannes,Team time trial,Marcel Bidot,FRA
6,1928-06-22,1928,6,22,204.0,Vannes,Les Sables d'Olonne,Team time trial,Nicolas Frantz,LUX
7,1928-06-23,1928,6,23,285.0,Les Sables d'Olonne,Bordeaux,Team time trial,Victor Fontan,FRA
8,1928-06-24,1928,6,24,225.0,Bordeaux,Hendaye,Team time trial,Maurice Dewaele,BEL
9,1928-06-26,1928,6,26,387.0,Hendaye,Luchon,Stage with mountain(s),Victor Fontan,FRA
10,1928-06-28,1928,6,28,323.0,Luchon,Perpignan,Stage with mountain(s),André Leducq,FRA
11,1928-06-30,1928,6,30,363.0,Perpignan,Marseille,Plain stage,André Leducq,FRA
12,1928-07-02,1928,7,2,330.0,Marseille,Nice,Stage with mountain(s),Nicolas Frantz,LUX
13,1928-07-04,1928,7,4,333.0,Nice,Grenoble,Stage with mountain(s),Antonin Magne,FRA
14,1928-07-06,1928,7,6,329.0,Grenoble,Evian,Stage with mountain(s),Julien Moineau,FRA
15,1928-07-08,1928,7,8,213.0,Evian,Pontarlier,Team time trial,Pierre Magne,FRA
16,1928-07-09,1928,7,9,119.0,Pontarlier,Belfort,Team time trial,André Leducq,FRA
17,1928-07-10,1928,7,10,145.0,Belfort,Strasbourg,Team time trial,Joseph Mauclair,FRA
18,1928-07-11,1928,7,11,165.0,Strasbourg,Metz,Team time trial,Nicolas Frantz,LUX
19,1928-07-12,1928,7,12,159.0,Metz,Charleville,Team time trial,Marcel Huot,FRA
20,1928-07-13,1928,7,13,271.0,Charleville,Malo-les-Bains,Team time trial,Maurice Dewaele,BEL
21,1928-07-14,1928,7,14,234.0,Malo-les-Bains,Dieppe,Team time trial,Antonin Magne,FRA
22,1928-07-15,1928,7,15,331.0,Dieppe,Paris,Plain stage,Nicolas Frantz,LUX
1,1927-06-19,1927,6,19,180.0,Paris,Dieppe,Team time trial,Francis Pélissier,FRA
2,1927-06-20,1927,6,20,103.0,Dieppe,Le Havre,Team time trial,Maurice Dewaele,BEL
